,,,,,,,,,,,,,,
"//!","GNU/Linux distro timeline data sheet",,,,,,,,,,,,,
"//!","Copyright (C) 2010 Donjan Rodic",,,,,,,,,,,,,
"//!","Permission is granted to copy, distribute and/or modify this document",,,,,,,,,,,,,
"//!","under the terms of the GNU Free Documentation License, Version 1.3",,,,,,,,,,,,,
"//!","or any later version published by the Free Software Foundation;",,,,,,,,,,,,,
"//!","with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts.",,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,
"//","Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,
"//","You can safely insert commas or double quotes into data fields.",,,,,,,,,,,,,
"//","EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,
"//","When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,,,,,,,,
"//",,,,,,,,,,,,,,
"//!","gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.",,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,
"//!","Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,
"//!","# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,
"//!","SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Nodes",,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]"
"N","MS-DOS","#000000",,"1990","1996",,,,,,,,,
"#","PC-DOS",,,,,,,,,,,,,
"#","Windows 3.0",,,,,,,,,,,,,
"#","Windows 3.1",,,,,,,,,,,,,
"N","Windows 95","#000000","MS-DOS","1996","2000.3",,,,,,,,,
"N","Windows 2000","#000000","Windows 95","2000.3","2003.5",,"Need SMP support",,,,,,,
"N","Windows Server 2003","#000000","Windows 2000","2003.5","2006",,,,,,,,,
"N","Windows Server 2003 R2","#000000","Windows Server 2003","2006","2007.6.12",,,,,,,,,
"N","Fedora Core 2","#000000",,"2003","2004",,,,,,,,,
,,,,,,,,,,,,,,
"N","Fedora 6","#000000",,"2005","2007.2.20",,,,,,,,,
"N","Fedora 7","#0000FF","Windows Server 2003 R2","2007.6.12","2007.11.11",,,,,,,,,
"N","Arch Linux","#0000FF",,"2007","2011",,,,,,,,,
"N","Fedora 8","#0000FF","Fedora 7","2007.11.11","2008",,,,,,,,,
"N","Fedora 9 (1)","#0000FF","Fedora 8","2008","2008.9.11",,,,,,,,,
"N","Ubuntu 8.04","#0000FF","Fedora 9 (1)","2008.9.11","2008.10.3",,,,,,,,,
"N","Fedora 9 (2)","#0000FF","Ubuntu 8.04","2008.10.3","2008.11.26",,,,,,,,,
"N","Fedora 10","#0000FF","Fedora 9 (2)","2008.11.26","2009.4.16",,,,,,,,,
"N","Gentoo","#0000FF","Fedora 10","2009.4.16",,,,,,,,,,
,,,,,,,,,,,,,,
"N","Windows XP","#000000",,"2007.6.12",,,,,,,,,,
"N","Mac OS X 10.4","#000000",,"2007.5","2011",,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Connectors",,,,,,,,,,,,,
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,,,,,,,,
"#","From When","From","To When","To","Thickness","Color",,,,,,,,
,,,,,,,,,,,,,,
"#","Domains",,,,,,,,,,,,,
"#","Distribution","Color","Intensity",,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Images",,,,,,,,,,,,,
"#","File Path","x Position","y Position",,,,,,,,,,,
